# centerline extracted from goomba_track.stl by scripts/extract_centerline.py
# scale 7.0x, smoothing sigma 105.0, 145 points
# x_m,y_m
-0.294402,-0.403486
-0.317701,-0.401132
-0.340789,-0.397219
-0.363551,-0.391717
-0.385860,-0.384602
-0.407585,-0.375863
-0.428582,-0.365500
-0.448708,-0.353531
-0.467816,-0.339996
-0.485765,-0.324960
-0.502427,-0.308508
-0.517690,-0.290751
-0.531461,-0.271814
-0.543674,-0.251835
-0.554285,-0.230961
-0.563271,-0.209338
-0.570630,-0.187108
-0.576368,-0.164405
-0.580499,-0.141355
-0.583038,-0.118076
-0.583995,-0.094678
-0.583376,-0.071269
-0.581179,-0.047955
-0.577398,-0.024845
-0.572026,-0.002053
-0.565062,+0.020305
-0.556516,+0.042106
-0.546426,+0.063238
-0.534861,+0.083600
-0.521935,+0.103127
-0.507803,+0.121800
-0.492656,+0.139661
-0.476718,+0.156822
-0.460225,+0.173451
-0.443419,+0.189765
-0.426541,+0.206004
-0.409816,+0.222400
-0.393449,+0.239153
-0.377603,+0.256400
-0.362379,+0.274197
-0.347795,+0.292523
-0.333781,+0.311288
-0.320185,+0.330360
-0.306796,+0.349577
-0.293366,+0.368767
-0.279641,+0.387745
-0.265375,+0.406319
-0.250355,+0.424288
-0.234420,+0.441450
-0.217467,+0.457604
-0.199455,+0.472568
-0.180408,+0.486189
-0.160396,+0.498348
-0.139523,+0.508962
-0.117915,+0.517985
-0.095702,+0.525396
-0.073015,+0.531194
-0.049976,+0.535387
-0.026703,+0.537986
-0.003308,+0.539002
+0.020102,+0.538439
+0.043421,+0.536294
+0.066539,+0.532560
+0.089340,+0.527224
+0.111702,+0.520278
+0.133499,+0.511720
+0.154597,+0.501562
+0.174871,+0.489845
+0.194208,+0.476639
+0.212527,+0.462053
+0.229790,+0.446230
+0.246019,+0.429347
+0.261297,+0.411597
+0.275771,+0.393185
+0.289641,+0.374312
+0.303141,+0.355173
+0.316527,+0.335953
+0.330050,+0.316830
+0.343933,+0.297967
+0.358346,+0.279506
+0.373385,+0.261552
+0.389057,+0.244148
+0.405284,+0.227259
+0.421919,+0.210772
+0.438769,+0.194504
+0.455613,+0.178229
+0.472213,+0.161707
+0.488330,+0.144713
+0.503723,+0.127063
+0.518165,+0.108628
+0.531454,+0.089346
+0.543422,+0.069218
+0.553946,+0.048299
+0.562942,+0.026680
+0.570366,+0.004471
+0.576199,-0.018208
+0.580440,-0.041238
+0.583096,-0.064504
+0.584172,-0.087897
+0.583673,-0.111309
+0.581593,-0.134634
+0.577925,-0.157761
+0.572653,-0.180577
+0.565764,-0.202958
+0.557247,-0.224770
+0.547102,-0.245874
+0.535345,-0.266124
+0.522013,-0.285374
+0.507166,-0.303481
+0.490890,-0.320313
+0.473290,-0.335757
+0.454492,-0.349719
+0.434635,-0.362128
+0.413864,-0.372938
+0.392326,-0.382127
+0.370164,-0.389691
+0.347516,-0.395641
+0.324508,-0.399998
+0.301258,-0.402792
+0.277874,-0.404059
+0.254457,-0.403841
+0.231097,-0.402194
+0.207872,-0.399192
+0.184841,-0.394942
+0.162042,-0.389588
+0.139472,-0.383331
+0.117086,-0.376446
+0.094780,-0.369302
+0.072400,-0.362396
+0.049766,-0.356384
+0.026755,-0.352064
+0.003420,-0.350221
-0.019964,-0.351263
-0.043083,-0.354954
-0.065815,-0.360578
-0.088246,-0.367314
-0.110551,-0.374461
-0.132896,-0.381479
-0.155401,-0.387966
-0.178128,-0.393621
-0.201090,-0.398225
-0.224262,-0.401614
-0.247590,-0.403673
-0.270999,-0.404317
-0.294402,-0.403486
